Date,Time,Accel_X,Accel_Y,Accel_Z,Acc_Magnitude,Jerk_Magnitude,Axial_x,Axial_y,Axial_z
15/7/2026,17:07:57,934.57,386.23,74.22,1013.95,330.72,-122.07,36.62,-305.18
15/7/2026,17:07:57,936.04,385.01,72.51,1014.72,128.03,73.24,-61.04,-85.45
15/7/2026,17:07:57,939.94,389.16,71.53,1019.83,289.13,195.31,207.52,-48.83
15/7/2026,17:07:57,935.55,386.96,70.8,1014.89,248.38,-219.73,-109.86,-36.62
15/7/2026,17:07:57,934.81,388.18,75.2,1015,230.97,-36.62,61.04,219.73
15/7/2026,17:07:57,935.79,385.25,78.37,1015.02,221.42,48.83,-146.48,158.69
15/7/2026,17:07:57,932.86,388.18,72.27,1012.99,368.85,-146.48,146.48,-305.18
15/7/2026,17:07:57,939.45,387.45,67.63,1018.46,404.67,329.59,-36.62,-231.93
15/7/2026,17:07:57,940.19,385.99,78.12,1019.33,531.25,36.62,-73.24,524.9
15/7/2026,17:07:57,934.57,384.77,75.44,1013.49,317.15,-280.76,-61.04,-134.28
15/7/2026,17:07:57,935.79,385.99,70.07,1014.69,282.09,61.04,61.04,-268.55
15/7/2026,17:07:57,941.16,384.52,73.24,1019.32,320.42,268.55,-73.24,158.69
15/7/2026,17:07:57,935.55,387.94,76.42,1015.67,364.99,-280.76,170.9,158.69
15/7/2026,17:07:57,938.48,390.38,79.83,1019.56,256.06,146.48,122.07,170.9
15/7/2026,17:07:57,935.3,386.47,71.53,1014.53,485.37,-158.69,-195.31,-415.04
15/7/2026,17:07:57,933.59,385.99,71.53,1012.77,88.87,-85.45,-24.41,0
15/7/2026,17:07:57,937.99,387.7,76.42,1017.83,339.39,219.73,85.45,244.14
15/7/2026,17:07:57,939.94,385.99,71.04,1018.59,298.26,97.66,-85.45,-268.55
15/7/2026,17:07:57,935.79,385.25,78.12,1015,411.97,-207.52,-36.62,354
15/7/2026,17:07:57,934.33,386.72,72.75,1013.81,287.84,-73.24,73.24,-268.55
15/7/2026,17:07:57,937.5,387.94,72.27,1017.17,171.77,158.69,61.04,-24.41
15/7/2026,17:07:57,934.33,388.92,74.71,1014.79,206.08,-158.69,48.83,122.07
15/7/2026,17:07:57,939.45,384.52,76.42,1017.97,348.27,256.34,-219.73,85.45
15/7/2026,17:07:57,937.01,385.99,73.24,1016.04,213.19,-122.07,73.24,-158.69
15/7/2026,17:07:57,936.77,387.7,71.78,1016.36,113.2,-12.2,85.45,-73.24
15/7/2026,17:07:57,936.28,388.18,76.17,1016.42,222.42,-24.41,24.41,219.73
15/7/2026,17:07:57,933.84,383.79,71.78,1012.18,333.86,-122.07,-219.73,-219.73
15/7/2026,17:07:57,931.64,385.74,77.88,1011.34,338.73,-109.87,97.66,305.18
15/7/2026,17:07:57,936.28,385.99,71.04,1015.21,413.24,231.94,12.21,-341.8
15/7/2026,17:07:57,935.3,383.3,76.17,1013.66,293.48,-48.83,-134.28,256.35
15/7/2026,17:07:57,934.08,384.28,71.04,1012.53,268,-61.04,48.83,-256.35
15/7/2026,17:07:57,936.52,384.28,70.31,1014.74,127.45,122.07,0,-36.62
15/7/2026,17:07:57,938.48,385.74,73.24,1017.3,190.68,97.66,73.24,146.48
15/7/2026,17:07:57,934.08,387.21,76.9,1014.08,295.25,-219.73,73.24,183.11
15/7/2026,17:07:57,934.57,387.21,73,1014.24,196.83,24.41,0,-195.31
15/7/2026,17:07:57,937.01,390.14,73.49,1017.64,192.24,122.07,146.48,24.41
15/7/2026,17:07:57,936.77,389.4,79.59,1017.6,307.61,-12.2,-36.62,305.18
15/7/2026,17:07:57,937.01,385.25,73.97,1015.82,349.34,12.2,-207.52,-280.76
15/7/2026,17:07:57,937.99,384.28,82.03,1016.97,408.71,48.83,-48.83,402.83
15/7/2026,17:07:57,934.08,383.79,75.93,1012.7,363.15,-195.31,-24.41,-305.18
15/7/2026,17:07:57,936.28,385.74,69.34,1015,360.88,109.87,97.66,-329.59
15/7/2026,17:07:57,936.28,385.74,72.27,1015.2,146.48,0,0,146.48
15/7/2026,17:07:57,932.86,385.01,71.29,1011.7,181.47,-170.9,-36.62,-48.83
15/7/2026,17:07:57,933.84,384.03,76.66,1012.63,277.29,48.83,-48.83,268.55
15/7/2026,17:07:57,935.55,388.92,79.83,1016.31,303.46,85.45,244.14,158.69
15/7/2026,17:07:58,936.52,386.47,78.61,1016.18,144.95,48.83,-122.07,-61.04
15/7/2026,17:07:58,935.55,383.3,71.53,1013.55,391.01,-48.83,-158.69,-354
15/7/2026,17:07:58,932.37,386.47,76.17,1012.17,322.74,-158.69,158.69,231.93
15/7/2026,17:07:58,933.35,384.77,76.17,1012.42,98.42,48.83,-85.45,0
15/7/2026,17:07:58,938.72,388.43,70.8,1018.37,421.63,268.55,183.11,-268.55
15/7/2026,17:07:58,936.28,383.54,73.24,1014.44,299.01,-122.07,-244.14,122.07
15/7/2026,17:07:58,938.48,385.74,73.24,1017.3,155.37,109.86,109.86,0
15/7/2026,17:07:58,938.48,385.01,78.37,1017.4,258.95,0,-36.62,256.35
15/7/2026,17:07:58,936.52,382.57,69.34,1014.02,477.95,-97.66,-122.07,-451.66
15/7/2026,17:07:58,938.48,386.47,71.53,1017.46,244.45,97.66,195.31,109.86
15/7/2026,17:07:58,938.72,387.21,75.44,1018.24,199.09,12.21,36.62,195.31
15/7/2026,17:07:58,941.41,385.5,74.95,1020.04,161.02,134.27,-85.45,-24.41
15/7/2026,17:07:58,937.01,387.94,77.15,1017.07,274.32,-219.73,122.07,109.86
15/7/2026,17:07:58,937.01,386.72,76.42,1016.55,71.18,0,-61.04,-36.62
15/7/2026,17:07:58,935.55,382.57,71.29,1013.26,337.85,-73.24,-207.52,-256.35
15/7/2026,17:07:58,936.77,388.43,74.95,1016.87,350.83,61.04,292.97,183.11
15/7/2026,17:07:58,935.55,388.67,79.83,1016.21,251.95,-61.04,12.21,244.14
15/7/2026,17:07:58,934.81,388.43,76.42,1015.18,175.2,-36.62,-12.21,-170.9
15/7/2026,17:07:58,933.84,389.4,72.51,1014.37,207.16,-48.83,48.83,-195.31
15/7/2026,17:07:58,936.28,387.7,77.15,1016.31,275.67,122.07,-85.45,231.93
15/7/2026,17:07:58,939.21,386.47,70.31,1018.05,376.84,146.48,-61.04,-341.8
15/7/2026,17:07:58,934.57,385.5,71.29,1013.47,242,-231.94,-48.83,48.83
15/7/2026,17:07:58,936.04,386.72,75.2,1015.56,217.34,73.24,61.04,195.31
15/7/2026,17:07:58,937.99,387.94,77.15,1017.97,150.99,97.66,61.04,97.66
15/7/2026,17:07:58,940.43,385.99,72.75,1019.16,269.66,122.07,-97.66,-219.73
15/7/2026,17:07:58,938.96,387.94,76.66,1018.84,230.32,-73.24,97.66,195.31
15/7/2026,17:07:58,934.81,387.45,78.37,1014.96,225.74,-207.52,-24.41,85.45
15/7/2026,17:07:58,939.7,390.38,71.53,1020.07,444.85,244.14,146.48,-341.8
15/7/2026,17:07:58,934.57,384.03,79.1,1013.49,556.46,-256.35,-317.38,378.42
15/7/2026,17:07:58,936.28,387.7,74.22,1016.09,316.91,85.45,183.11,-244.14
15/7/2026,17:07:58,935.79,389.4,67.14,1015.8,364.99,-24.41,85.45,-354
15/7/2026,17:07:58,934.08,389.16,80.08,1015.07,652.71,-85.45,-12.21,646.97
15/7/2026,17:07:58,935.79,387.94,75.68,1015.84,243.53,85.45,-61.04,-219.73
15/7/2026,17:07:58,935.55,387.45,73.49,1015.27,113.2,-12.21,-24.41,-109.86
15/7/2026,17:07:58,935.79,385.25,75.93,1014.84,164.68,12.21,-109.86,122.07
15/7/2026,17:07:58,934.57,384.28,76.17,1013.36,79.11,-61.04,-48.83,12.21
15/7/2026,17:07:58,933.84,383.79,72.27,1012.21,200.21,-36.62,-24.41,-195.31
15/7/2026,17:07:58,933.59,387.21,71.29,1013.22,178.16,-12.21,170.9,-48.83
15/7/2026,17:07:58,938.72,386.72,77.88,1018.24,418.26,256.35,-24.41,329.59
15/7/2026,17:07:58,937.99,387.94,74.71,1017.79,173.92,-36.62,61.04,-158.69
15/7/2026,17:07:58,935.55,387.45,73.97,1015.3,129.76,-122.07,-24.41,-36.62
15/7/2026,17:07:58,937.5,388.18,74.46,1017.42,107.12,97.66,36.62,24.41
15/7/2026,17:07:58,933.35,388.18,71.53,1013.38,254.01,-207.52,0,-146.48
15/7/2026,17:07:58,938.23,385.99,72.27,1017.1,270.21,244.14,-109.86,36.62
15/7/2026,17:07:58,934.33,386.72,74.71,1013.95,233.22,-195.31,36.62,122.07
15/7/2026,17:07:58,938.96,385.99,73.73,1017.88,239.83,231.93,-36.62,-48.83
15/7/2026,17:07:58,934.57,388.43,70.07,1014.5,310.98,-219.73,122.07,-183.11
15/7/2026,17:07:58,937.01,387.21,76.9,1016.78,368.04,122.07,-61.04,341.8
15/7/2026,17:07:58,938.96,385.99,73.97,1017.9,186.33,97.66,-61.04,-146.48
15/7/2026,17:07:58,937.5,384.52,73,1015.92,114.51,-73.24,-73.24,-48.83
15/7/2026,17:07:59,934.57,385.01,77.64,1013.75,275.4,-146.48,24.41,231.93
15/7/2026,17:07:59,938.48,386.72,71.78,1017.57,362.32,195.31,85.45,-292.97
15/7/2026,17:07:59,938.96,385.99,70.31,1017.64,85.45,24.41,-36.62,-73.24
15/7/2026,17:07:59,935.79,389.65,73,1016.3,277.02,-158.69,183.11,134.28
15/7/2026,17:07:59,940.67,389.65,67.87,1020.44,354,244.14,0,-256.35
15/7/2026,17:07:59,935.3,386.96,77.15,1015.13,552.56,-268.55,-134.28,463.87
15/7/2026,17:07:59,935.79,385.74,74.46,1014.91,149.5,24.41,-61.04,-134.28
15/7/2026,17:07:59,935.55,388.67,76.9,1015.99,191.07,-12.21,146.48,122.07
15/7/2026,17:07:59,816.65,151.86,32.23,831.27,13436.37,-5944.82,-11840.82,-2233.89
15/7/2026,17:07:59,947.51,427.98,2.69,1039.69,15349.33,6542.97,13806.15,-1477.05
15/7/2026,17:07:59,1045.65,350.59,146.97,1112.61,9544.73,4907.23,-3869.63,7214.36
15/7/2026,17:07:59,671.87,315.19,301.03,800.86,20291.4,-18688.96,-1770.02,7702.64
15/7/2026,17:07:59,1084.23,587.89,106.93,1237.98,26555.37,20617.68,13635.25,-9704.59
15/7/2026,17:07:59,1007.57,229.49,178.96,1048.75,18675.74,-3833.01,-17919.92,3601.07
15/7/2026,17:07:59,1277.59,357.18,-21.48,1326.75,17985.42,13500.98,6384.28,-10021.97
15/7/2026,17:07:59,1485.35,304.44,-113.04,1520.44,11654.24,10388.18,-2636.72,-4577.64
15/7/2026,17:07:59,1515.63,468.75,-144.29,1593,8498.49,1513.67,8215.33,-1562.5
15/7/2026,17:07:59,1542.97,465.82,-27.59,1611.99,5994.78,1367.19,-146.48,5834.96
15/7/2026,17:07:59,1539.31,601.07,72.27,1654.08,8408,-183.11,6762.7,4992.68
15/7/2026,17:07:59,1413.57,659.18,155.27,1567.42,8073.91,-6286.62,2905.27,4150.39
15/7/2026,17:07:59,-1966.55,222.17,-448.97,2029.35,173070.45,-169006.34,-21850.59,-30212.4
15/7/2026,17:07:59,-1963.87,-910.4,844.73,2323.61,85970.65,134.28,-56628.42,64685.06
15/7/2026,17:07:59,-563.72,-1264.65,515.38,1477.41,74067.04,70007.33,-17712.4,-16467.28
15/7/2026,17:07:59,749.02,-899.17,-160.16,1181.18,76046.41,65637.21,18273.93,-33776.86
15/7/2026,17:07:59,1105.22,242.19,455.08,1219.54,67232.6,17810.06,57067.87,30761.72
15/7/2026,17:07:59,1999.94,1623.78,-1032.47,2775.32,110929.16,44735.72,69079.59,-74377.45
15/7/2026,17:07:59,1999.94,1999.94,-812.26,2942.66,21793.96,0,18807.98,11010.74
15/7/2026,17:07:59,1856.45,1407.71,-705.57,2434.31,30931.48,-7174.68,-29611.21,5334.47
15/7/2026,17:07:59,894.29,254.64,-243.41,961.16,78564.04,-48107.91,-57653.81,23107.91
15/7/2026,17:07:59,826.66,-591.31,-23.93,1016.65,43828.44,-3381.34,-42297.36,10974.12
15/7/2026,17:07:59,867.92,-452.39,109.37,984.84,9844.94,2062.99,6945.8,6665.04
15/7/2026,17:07:59,-245.36,625.24,58.84,674.24,77512.1,-55664.06,53881.84,-2526.86
15/7/2026,17:07:59,127.93,-378.91,878.17,964.95,67434.7,18664.55,-50207.52,40966.8
15/7/2026,17:07:59,803.22,-243.41,55.91,841.15,53630.71,33764.65,6774.9,-41113.28
15/7/2026,17:07:59,1100.59,385.25,-90.09,1169.54,35530.12,14868.16,31433.11,-7299.8
15/7/2026,17:07:59,1116.7,995.85,-40.04,1496.78,30642.76,805.66,30529.78,2502.44
15/7/2026,17:07:59,1477.05,966.31,-239.99,1781.3,20658.31,18017.58,-1477.04,-9997.56
15/7/2026,17:07:59,1400.63,625.49,-190.92,1545.79,17635.62,-3820.8,-17041.02,2453.61
15/7/2026,17:07:59,998.29,396.97,-13.18,1074.4,24783.54,-20117.19,-11425.78,8886.72
15/7/2026,17:07:59,951.66,115.48,12.7,958.73,14325.07,-2331.54,-14074.71,1293.95
15/7/2026,17:07:59,729.49,312.26,-21.24,793.8,14935.83,-11108.4,9838.87,-1696.78
15/7/2026,17:07:59,461.91,303.71,328.37,642.99,22016.91,-13378.91,-427.25,17480.47
15/7/2026,17:07:59,765.62,48.58,174.56,786.77,21271.29,15185.55,-12756.35,-7690.43
15/7/2026,17:07:59,1010.99,109.62,28.56,1017.31,14598.15,12268.07,3051.76,-7299.8
15/7/2026,17:07:59,946.04,531.49,70.8,1087.43,21446.43,-3247.07,21093.75,2111.82
15/7/2026,17:07:59,1142.33,613.53,-24.9,1296.9,11663.79,9814.45,4101.56,-4785.16
15/7/2026,17:07:59,1144.29,564.45,-29.05,1276.26,2464.31,97.66,-2453.61,-207.52
15/7/2026,17:07:59,1020.75,422.61,24.17,1105.04,9774.17,-6176.76,-7092.29,2661.13
15/7/2026,17:07:59,983.89,245.12,37.11,1014.64,9086.98,-1843.26,-8874.51,646.97
15/7/2026,17:07:59,938.96,229.49,69.09,969.07,2865.74,-2246.1,-781.25,1599.12
15/7/2026,17:08:00,799.8,417.97,170.9,918.47,12772.39,-6958,9423.83,5090.33
15/7/2026,17:08:00,734.13,386.72,180.91,849.25,3670.77,-3283.69,-1562.5,500.49
15/7/2026,17:08:00,965.82,163.09,62.74,981.5,17150.39,11584.48,-11181.64,-5908.2
15/7/2026,17:08:00,984.62,289.31,47.85,1027.36,6423.95,939.94,6311.04,-744.63
15/7/2026,17:08:00,959.47,474.37,67.14,1072.44,9387.63,-1257.32,9252.93,964.36
15/7/2026,17:08:00,1036.62,510.74,9.52,1155.65,5146.58,3857.42,1818.85,-2880.86
15/7/2026,17:08:00,983.89,442.87,54.2,1080.33,4843.42,-2636.72,-3393.55,2233.89
15/7/2026,17:08:00,989.01,318.85,45.9,1040.15,6220.33,256.34,-6201.17,-415.04
15/7/2026,17:08:00,913.57,315.19,94.24,971,4483.65,-3771.97,-183.11,2416.99
15/7/2026,17:08:00,862.3,339.6,116.94,934.12,3057.83,-2563.47,1220.7,1135.25
15/7/2026,17:08:00,887.7,312.99,101.32,946.69,1998.11,1269.53,-1330.57,-781.25
15/7/2026,17:08:00,949.71,309.57,68.12,1001.21,3521.21,3100.58,-170.9,-1660.16
15/7/2026,17:08:00,970.21,378.42,59.81,1043.12,3615.76,1025.39,3442.38,-415.04
15/7/2026,17:08:00,976.07,431.15,57.37,1068.6,2655.75,292.97,2636.72,-122.07
15/7/2026,17:08:00,984.37,404.05,57.86,1065.65,1417.33,415.04,-1354.98,24.41
15/7/2026,17:08:00,974.85,365.97,52.73,1042.62,1979.57,-476.07,-1904.3,-256.35
15/7/2026,17:08:00,931.88,351.81,76.42,999.01,2553.25,-2148.44,-708.01,1184.08
15/7/2026,17:08:00,907.96,343.26,89.11,974.76,1420.06,-1196.29,-427.25,634.77
15/7/2026,17:08:00,915.53,329.35,88.62,976.99,792.42,378.41,-695.8,-24.41
15/7/2026,17:08:00,939.94,333.98,79.35,1000.67,1326.3,1220.7,231.93,-463.87
15/7/2026,17:08:00,950.2,374.02,70.56,1023.59,2112.77,512.7,2001.95,-439.45
15/7/2026,17:08:00,961.67,390.38,65.92,1039.98,1025.61,573.73,817.87,-231.93
15/7/2026,17:08:00,971.19,382.08,62.26,1045.5,657.6,476.07,-415.04,-183.11
15/7/2026,17:08:00,959.23,366.94,58.59,1028.69,981.89,-598.14,-756.84,-183.11
15/7/2026,17:08:00,939.45,360.35,78.12,1009.22,1428.28,-988.77,-329.59,976.56
15/7/2026,17:08:00,932.86,350.34,79.83,999.67,605.32,-329.59,-500.49,85.45
15/7/2026,17:08:00,933.84,342.04,76.42,997.44,451.5,48.83,-415.04,-170.9
15/7/2026,17:08:00,939.21,353.76,74.46,1006.38,651.91,268.55,585.94,-97.66
15/7/2026,17:08:00,948.49,366.46,74.71,1019.56,786.29,463.87,634.77,12.21
15/7/2026,17:08:00,958.5,375,70.07,1031.62,697.73,500.49,427.25,-231.93
15/7/2026,17:08:00,958.74,373.54,65.67,1031.03,231.93,12.2,-73.24,-219.73
15/7/2026,17:08:00,953.37,366.46,69.58,1023.74,485.37,-268.55,-354,195.31
15/7/2026,17:08:00,946.04,364.5,73,1016.46,415.76,-366.21,-97.66,170.9
15/7/2026,17:08:00,938.48,352.29,73.73,1005.13,719.08,-378.42,-610.35,36.62
15/7/2026,17:08:00,937.74,354.98,74.22,1005.43,141.31,-36.62,134.28,24.41
15/7/2026,17:08:00,941.16,355.96,78.86,1009.31,292.2,170.9,48.83,231.93
15/7/2026,17:08:00,944.58,364.99,75.68,1015.47,508.32,170.9,451.66,-158.69
15/7/2026,17:08:00,899.41,455.32,122.8,1015.55,5572.27,-2258.3,4516.6,2355.96
15/7/2026,17:08:00,1212.89,452.39,-134.28,1301.46,20271.06,15673.83,-146.48,-12854
15/7/2026,17:08:00,924.32,456.3,94.73,1035.15,18420.99,-14428.71,195.31,11450.2
15/7/2026,17:08:00,1028.08,30.76,-37.11,1029.21,22870.76,5187.99,-21276.86,-6591.8
15/7/2026,17:08:00,688.48,297.85,135.25,762.24,23258.01,-16979.98,13354.49,8618.16
15/7/2026,17:08:00,985.35,-139.16,160.64,1008.01,26446.11,14843.75,-21850.59,1269.53
15/7/2026,17:08:00,879.39,159.91,69.34,896.5,16508.21,-5297.85,14953.61,-4565.43
15/7/2026,17:08:00,871.58,539.31,37.84,1025.64,19038.98,-390.62,18969.73,-1574.71
15/7/2026,17:08:00,1194.09,419.19,18.31,1265.67,17235.29,16125.49,-6005.86,-976.56
15/7/2026,17:08:00,1049.56,464.36,-69.09,1149.77,8741.91,-7226.56,2258.3,-4370.12
15/7/2026,17:08:00,961.91,433.84,-21.73,1055.45,5209.73,-4382.32,-1525.88,2368.16
15/7/2026,17:08:00,730.71,449.22,17.58,857.93,11751.13,-11560.06,769.04,1965.33
15/7/2026,17:08:00,782.47,275.39,0,829.52,9110.99,2587.89,-8691.41,-878.91
15/7/2026,17:08:01,772.22,90.09,54.93,779.39,9677.26,-512.7,-9265.14,2746.58
15/7/2026,17:08:01,1453.61,-438.72,235.84,1536.58,44064.37,34069.82,-26440.43,9045.41
15/7/2026,17:08:01,1999.94,452.15,-1096.19,2325.04,84652.63,27316.29,44543.46,-66601.56
15/7/2026,17:08:01,1999.94,1490.72,-1272.95,2800.43,52675.42,0,51928.71,-8837.89
15/7/2026,17:08:01,1999.94,1649.41,-1261.23,2882.88,7956.18,0,7934.57,585.94
15/7/2026,17:08:01,1999.94,1755.13,-1126.46,2889.49,8564.02,0,5285.64,6738.28
15/7/2026,17:08:01,1609.38,1935.06,-1471.44,2915.42,27564.49,-19528.2,8996.58,-17248.54
15/7/2026,17:08:01,757.57,1686.52,-1375.49,2304.4,44624.83,-42590.33,-12426.76,4797.36
15/7/2026,17:08:01,-104.25,1550.05,-1157.96,1937.62,44963.09,-43090.82,-6823.72,10876.46
15/7/2026,17:08:01,-925.54,1321.04,-1241.94,2035.73,42837.25,-41064.45,-11450.2,-4199.22
15/7/2026,17:08:01,-1810.79,772.71,-1498.54,2474.2,53623.46,-44262.7,-27416.99,-12829.59
15/7/2026,17:08:01,-2000,-601.56,-1453.86,2544.72,69397.55,-9460.45,-68713.38,2233.89
15/7/2026,17:08:01,-2000,-1947.02,342.04,2812.1,112199.72,0,-67272.95,89794.92
15/7/2026,17:08:01,-2000,-2000,1335.21,3127.74,49728.8,0,-2648.93,49658.2
15/7/2026,17:08:01,-1971.19,-2000,591.55,2869.76,37210.51,1440.44,0,-37182.62
15/7/2026,17:08:01,-720.21,-1511.96,-1001.46,1951.33,104173.26,62548.82,24401.86,-79650.88
15/7/2026,17:08:01,106.69,-363.77,-1190.67,1249.57,71377.84,41345.21,57409.67,-9460.45
15/7/2026,17:08:01,555.18,96.92,-176.27,590.5,60049.86,22424.32,23034.67,50720.21
15/7/2026,17:08:01,730.47,171.14,527.1,916.9,36433.64,8764.65,3710.94,35168.46
15/7/2026,17:08:01,1011.23,54.44,581.3,1167.67,15442.1,14038.09,-5834.96,2709.96
15/7/2026,17:08:01,1177,-33.94,446.78,1259.4,11552.82,8288.57,-4418.95,-6726.07
15/7/2026,17:08:01,1285.64,-326.17,488.53,1413.48,15728.01,5432.13,-14611.82,2087.4
15/7/2026,17:08:01,1121.34,-500.98,554.93,1347.71,12446.2,-8215.33,-8740.23,3320.31
15/7/2026,17:08:01,638.67,-382.08,569.09,936.88,24864.8,-24133.3,5944.82,708.01
15/7/2026,17:08:01,386.72,-471.92,399.66,729.38,15831.93,-12597.66,-4492.19,-8471.68
15/7/2026,17:08:01,365.48,-870.85,444.34,1043.74,20099.07,-1062.01,-19946.29,2233.89
15/7/2026,17:08:01,409.42,-1187.74,619.38,1400.71,18234.27,2197.27,-15844.73,8752.44
15/7/2026,17:08:01,372.31,-1108.15,654.3,1339.67,4725.07,-1855.47,3979.49,1745.61
15/7/2026,17:08:01,158.2,-662.6,588.13,899.98,24937.01,-10705.57,22277.83,-3308.11
15/7/2026,17:08:01,63.23,-394.04,572.02,697.48,14265.4,-4748.54,13427.73,-805.66
15/7/2026,17:08:01,196.29,-562.99,689.94,911.87,12262.92,6652.83,-8447.27,5896
15/7/2026,17:08:01,496.34,-831.54,749.02,1224.28,20349.54,15002.44,-13427.73,2954.1
15/7/2026,17:08:01,678.22,-760.5,711.43,1242.77,9942.71,9094.24,3552.24,-1879.88
15/7/2026,17:08:01,736.08,-492.68,548.58,1041.87,15936.92,2893.07,13391.11,-8142.09
15/7/2026,17:08:01,812.5,-380.13,553.96,1054.29,6807.26,3820.8,5627.44,268.55
15/7/2026,17:08:01,882.57,-456.79,581.05,1151.18,5366.73,3503.42,-3833.01,1354.98
15/7/2026,17:08:01,661.38,-472.9,639.4,1034.36,11466.25,-11059.57,-805.66,2917.48
15/7/2026,17:08:01,360.6,-536.13,696.04,949.71,15626.57,-15039.06,-3161.62,2832.03
15/7/2026,17:08:01,217.04,-739.99,688.23,1033.61,12472.65,-7177.73,-10192.87,-390.62
15/7/2026,17:08:01,231.2,-958.01,748.29,1237.41,11329.08,708.01,-10900.88,3002.93
15/7/2026,17:08:01,259.77,-927.25,810.06,1258.36,3734.12,1428.22,1538.09,3088.38
15/7/2026,17:08:01,303.96,-690.67,541.75,928.93,18021.49,2209.47,11828.61,-13415.53
15/7/2026,17:08:01,203.86,-505.37,598.14,809.16,10901.51,-5004.88,9265.14,2819.82
