Date,Time,Accel_X,Accel_Y,Accel_Z,Acc_Magnitude,Jerk_Magnitude,Axial_x,Axial_y,Axial_z
15/7/2026,17:09:14,982.42,71.04,-250.73,1016.4,377.63,-158.69,24.41,-341.8
15/7/2026,17:09:14,982.91,73,-246.09,1015.88,252.84,24.41,97.66,231.93
15/7/2026,17:09:14,980.47,72.27,-242.68,1012.64,213.19,-122.07,-36.62,170.9
15/7/2026,17:09:14,983.4,73,-247.31,1016.64,276.75,146.48,36.62,-231.93
15/7/2026,17:09:14,987.06,71.78,-248.78,1020.46,206.44,183.1,-61.04,-73.24
15/7/2026,17:09:14,979,68.85,-243.9,1011.27,493.29,-402.83,-146.48,244.14
15/7/2026,17:09:15,980.47,73.73,-247.56,1013.92,313.84,73.24,244.14,-183.11
15/7/2026,17:09:15,984.86,67.87,-242.43,1016.53,447.02,219.73,-292.97,256.35
15/7/2026,17:09:15,981.45,68.12,-239.99,1012.65,210.37,-170.9,12.21,122.07
15/7/2026,17:09:15,981.93,72.02,-238.28,1012.99,214.58,24.41,195.31,85.45
15/7/2026,17:09:15,983.15,68.12,-246.83,1015.95,473.72,61.03,-195.31,-427.25
15/7/2026,17:09:15,982.91,70.8,-245.85,1015.66,143.4,-12.2,134.28,48.83
15/7/2026,17:09:15,984.37,67.63,-242.43,1016.04,244.45,73.24,-158.69,170.9
15/7/2026,17:09:15,982.67,76.66,-245.85,1015.85,490.41,-85.45,451.66,-170.9
15/7/2026,17:09:15,982.67,71.29,-248.54,1016.11,300.25,0,-268.55,-134.28
15/7/2026,17:09:15,982.42,73.97,-245.85,1015.41,190.29,-12.2,134.28,134.28
15/7/2026,17:09:15,976.56,64.94,-250.73,1010.33,591.13,-292.97,-451.66,-244.14
15/7/2026,17:09:15,982.67,72.02,-244.38,1015.16,564.96,305.17,354,317.38
15/7/2026,17:09:15,980.22,69.58,-248.05,1013.51,251.65,-122.07,-122.07,-183.11
15/7/2026,17:09:15,977.78,68.85,-241.46,1009.51,353.37,-122.07,-36.62,329.59
15/7/2026,17:09:15,980.71,70.8,-241.94,1012.59,177.73,146.48,97.66,-24.41
15/7/2026,17:09:15,984.13,72.02,-248.78,1017.64,386.98,170.9,61.04,-341.8
15/7/2026,17:09:15,983.15,68.12,-246.09,1015.77,241.99,-48.83,-195.31,134.28
15/7/2026,17:09:15,983.15,71.53,-241.46,1014.89,288.1,0,170.9,231.93
15/7/2026,17:09:15,979.25,71.78,-240.97,1011.01,197.21,-195.31,12.21,24.41
15/7/2026,17:09:15,985.11,69.82,-243.16,1017.07,327.77,292.97,-97.66,-109.86
15/7/2026,17:09:15,984.37,75.68,-249.76,1018.38,442.49,-36.62,292.97,-329.59
15/7/2026,17:09:15,982.18,73,-241.21,1013.99,461.13,-109.87,-134.28,427.25
15/7/2026,17:09:15,983.15,72.51,-245.12,1015.84,202.8,48.83,-24.41,-195.31
15/7/2026,17:09:15,980.71,67.87,-240.97,1012.16,334.3,-122.07,-231.93,207.52
15/7/2026,17:09:15,980.96,70.07,-243.16,1013.07,155.85,12.21,109.86,-109.86
15/7/2026,17:09:15,980.71,73,-244.38,1013.34,159.16,-12.21,146.48,-61.04
15/7/2026,17:09:15,977.78,74.95,-245.36,1010.88,182.7,-146.48,97.66,-48.83
15/7/2026,17:09:15,981.93,67.63,-246.09,1014.56,422.51,207.52,-366.21,-36.62
15/7/2026,17:09:15,982.67,74.71,-242.19,1014.82,405.96,36.62,354,195.31
15/7/2026,17:09:15,987.06,74.46,-252.2,1021.49,546.73,219.73,-12.21,-500.49
15/7/2026,17:09:15,981.45,69.09,-246.09,1014.18,494.04,-280.76,-268.55,305.18
15/7/2026,17:09:15,984.37,70.07,-245.36,1016.91,158.69,146.48,48.83,36.62
15/7/2026,17:09:15,984.13,71.78,-242.43,1016.09,170.02,-12.21,85.45,146.48
15/7/2026,17:09:15,982.67,69.34,-242.68,1014.56,142.88,-73.24,-122.07,-12.21
15/7/2026,17:09:15,980.71,67.14,-244.14,1012.87,164.23,-97.66,-109.86,-73.24
15/7/2026,17:09:15,985.11,72.75,-247.8,1018.4,400.79,219.73,280.76,-183.11
15/7/2026,17:09:15,983.89,70.8,-247.8,1017.08,115.16,-61.03,-97.66,0
15/7/2026,17:09:15,982.18,74.22,-244.38,1014.84,256.35,-85.45,170.9,170.9
15/7/2026,17:09:15,981.69,73,-246.83,1014.87,138.65,-24.41,-61.04,-122.07
15/7/2026,17:09:15,979.25,66.41,-245.61,1011.76,356.73,-122.07,-329.59,61.04
15/7/2026,17:09:15,981.45,70.31,-238.77,1012.52,408.71,109.86,195.31,341.8
15/7/2026,17:09:15,984.86,74.95,-237.3,1015.82,297.26,170.9,231.93,73.24
15/7/2026,17:09:15,985.35,71.29,-241.7,1017.06,287.06,24.41,-183.11,-219.73
