Date,Time,Accel_X,Accel_Y,Accel_Z,Acc_Magnitude,Jerk_Magnitude,Axial_x,Axial_y,Axial_z
19/7/2026,16:33:30,452.39,-842.53,303.22,1003.22,2761.06,1098.63,1123.05,2270.51
19/7/2026,16:33:30,473.88,-848.14,352.54,1033.53,2704.26,1074.22,-280.76,2465.82
19/7/2026,16:33:30,505.62,-833.25,363.04,1040.07,1829.83,1586.92,744.63,524.9
19/7/2026,16:33:30,534.91,-841.06,295.65,1039.68,3694.52,1464.84,-390.62,-3369.14
19/7/2026,16:33:30,523.19,-818.85,316.89,1022.09,1644.74,-585.94,1110.84,1062.01
19/7/2026,16:33:30,480.96,-795.41,354.74,994.9,3068.07,-2111.81,1171.88,1892.09
19/7/2026,16:33:30,462.16,-802.25,331.79,983.5,1522.16,-939.94,-341.8,-1147.46
19/7/2026,16:33:30,459.72,-843.75,289.79,1003.61,2954.6,-122.07,-2075.19,-2099.61
19/7/2026,16:33:30,444.58,-874.02,288.57,1022.18,1693.44,-756.84,-1513.67,-61.04
19/7/2026,16:33:30,431.88,-877.93,302.25,1024.03,953.09,-634.76,-195.31,683.59
19/7/2026,16:33:30,422.36,-869.87,323.73,1019.74,1242.12,-476.08,402.83,1074.22
19/7/2026,16:33:30,442.63,-854.98,289.55,1005.36,2121.71,1013.19,744.63,-1708.98
19/7/2026,16:33:30,465.09,-841.31,276.61,1000.31,1465.3,1123.05,683.6,-646.97
19/7/2026,16:33:30,479.49,-832.52,293.7,1004.62,1200.83,720.22,439.45,854.49
19/7/2026,16:33:30,485.6,-820.56,334.72,1010.52,2157.92,305.17,598.14,2050.78
19/7/2026,16:33:30,505.13,-824.46,358.64,1031.27,1556.58,976.56,-195.31,1196.29
19/7/2026,16:33:30,519.29,-851.56,296.39,1040.51,3467.96,708.01,-1354.98,-3112.79
19/7/2026,16:33:30,493.41,-833.01,316.89,1018.71,1893.79,-1293.95,927.74,1025.39
19/7/2026,16:33:30,464.84,-830.57,327.15,1006.45,1522.36,-1428.22,122.07,512.7
19/7/2026,16:33:30,441.41,-835.45,325.68,999.44,1199.27,-1171.88,-244.14,-73.24
19/7/2026,16:33:30,445.56,-850.59,304.2,1007.25,1330.35,207.52,-756.84,-1074.22
19/7/2026,16:33:30,457.28,-852.29,290.77,1009.98,895.2,585.94,-85.45,-671.39
19/7/2026,16:33:30,458.98,-874.51,281.74,1027.04,1202.19,85.45,-1110.84,-451.66
19/7/2026,16:33:30,468.51,-848.39,315.92,1019.35,2203.02,476.07,1306.15,1708.98
19/7/2026,16:33:30,484.62,-840.58,293.46,1013.68,1436.29,805.67,390.62,-1123.05
19/7/2026,16:33:30,499.02,-824.22,311.04,1012.47,1400.03,720.21,817.87,878.91
19/7/2026,16:33:30,489.5,-795.41,337.4,993.04,2009.86,-476.07,1440.43,1318.36
19/7/2026,16:33:30,489.75,-810.79,331.54,1003.57,823.05,12.21,-769.04,-292.97
19/7/2026,16:33:30,500.49,-829.1,315.92,1018.68,1317.96,537.11,-915.53,-781.25
