Date,Time,Accel_X,Accel_Y,Accel_Z,Acc_Magnitude,Jerk_Magnitude,Axial_x,Axial_y,Axial_z
19/7/2026,16:29:19,1033.69,-222.41,66.41,1059.43,714.5,-378.42,-598.15,97.66
19/7/2026,16:29:19,1020.75,-222.41,81.79,1047.9,1004.99,-646.97,0,769.04
19/7/2026,16:29:19,1077.39,-230.96,86.43,1105.25,2873.45,2832.03,-427.25,231.93
19/7/2026,16:29:19,1068.12,-236.82,121.34,1100.76,1829.79,-463.87,-292.97,1745.61
19/7/2026,16:29:19,1060.06,-227.05,105.96,1089.27,996.05,-402.83,488.28,-769.04
19/7/2026,16:29:19,1101.81,-208.98,118.41,1127.68,2358.14,2087.4,903.32,622.56
19/7/2026,16:29:20,1121.83,-217.04,84.47,1145.75,2010.79,1000.98,-402.83,-1696.78
19/7/2026,16:29:20,1026.12,-240.72,88.62,1057.7,4933.85,-4785.16,-1184.08,207.52
19/7/2026,16:29:20,1072.02,-251.22,95.7,1105.22,2380.65,2294.92,-524.9,354
19/7/2026,16:29:20,1026.61,-232.42,106.93,1058.01,2520.72,-2270.51,939.94,561.52
19/7/2026,16:29:20,1015.14,-267.33,108.4,1055.33,1838.93,-573.73,-1745.61,73.24
19/7/2026,16:29:20,1015.62,-269.78,116.94,1057.33,445.01,24.41,-122.07,427.25
19/7/2026,16:29:20,983.4,-281.25,128.91,1030.92,1811.99,-1611.33,-573.73,598.14
19/7/2026,16:29:20,989.99,-317.87,89.84,1043.64,2697.42,329.59,-1831.05,-1953.13
19/7/2026,16:29:20,1026.12,-313.72,105.22,1078.16,1974.45,1806.64,207.52,769.04
19/7/2026,16:29:20,997.8,-319.34,104.25,1052.83,1444.41,-1416.02,-280.76,-48.83
19/7/2026,16:29:20,1000,-320.8,102.78,1055.21,150.99,109.87,-73.24,-73.24
19/7/2026,16:29:20,1038.57,-318.12,81.79,1089.28,2200.01,1928.71,134.28,-1049.8
19/7/2026,16:29:20,978.76,-331.05,65.43,1035.3,3167.32,-2990.72,-646.97,-817.87
19/7/2026,16:29:20,959.47,-332.28,28.56,1015.78,2081.18,-964.35,-61.04,-1843.26
19/7/2026,16:29:20,974.12,-336.43,11.96,1030.65,1126.29,732.42,-207.52,-830.08
19/7/2026,16:29:20,905.52,-341.8,65.92,970.12,4372.19,-3430.17,-268.55,2697.75
19/7/2026,16:29:20,857.18,-350.1,86.18,929.92,2653.43,-2417,-415.04,1013.18
19/7/2026,16:29:20,850.83,-341.06,111.82,923.44,1395.56,-317.38,451.66,1281.74
19/7/2026,16:29:20,830.32,-341.8,118.65,905.73,1081.48,-1025.39,-36.62,341.8
19/7/2026,16:29:20,761.72,-341.55,134.52,845.56,3520.77,-3430.18,12.21,793.46
19/7/2026,16:29:20,813.96,-347.66,107.18,891.57,2964.2,2612.3,-305.18,-1367.19
19/7/2026,16:29:20,761.23,-354.74,102.54,846.06,2670.47,-2636.72,-354,-231.93
19/7/2026,16:29:20,758.06,-387.94,17.82,851.74,4552.32,-158.69,-1660.16,-4235.84
19/7/2026,16:29:20,784.18,-387.7,-28.32,875.24,2651.23,1306.15,12.21,-2307.13
19/7/2026,16:29:20,808.84,-363.53,-43.7,887.85,1889.96,1232.91,1208.5,-769.04
19/7/2026,16:29:20,772.46,-371.09,-49.32,858.39,1878.89,-1818.85,-378.42,-280.76
19/7/2026,16:29:20,816.89,-370.12,-73.97,899.88,2541.32,2221.68,48.83,-1232.91
19/7/2026,16:29:20,818.12,-359.86,-63.48,896.02,736.28,61.04,512.7,524.9
19/7/2026,16:29:20,822.51,-360.35,-36.62,898.73,1360.85,219.72,-24.41,1342.77
19/7/2026,16:29:20,818.12,-341.8,19.53,886.86,2965.08,-219.72,927.73,2807.62
19/7/2026,16:29:20,846.68,-308.59,20.75,901.4,2190.81,1428.22,1660.16,61.04
19/7/2026,16:29:20,879.64,-329.1,-53.47,940.71,4187.87,1647.95,-1025.39,-3710.94
19/7/2026,16:29:20,908.94,-345.7,-48.83,973.68,1699.59,1464.85,-830.08,231.93
19/7/2026,16:29:20,901.61,-345.21,-2.93,965.45,2324.09,-366.21,24.41,2294.92
19/7/2026,16:29:20,887.7,-317.38,53.71,944.26,3231.27,-695.8,1391.6,2832.03
19/7/2026,16:29:20,916.02,-308.84,-19.29,966.87,3938.2,1416.02,427.25,-3649.9
19/7/2026,16:29:20,1000.24,-308.11,-75.93,1049.37,5075.22,4211.43,36.62,-2832.03
19/7/2026,16:29:20,935.79,-301.03,-5.37,983.03,4791.29,-3222.66,354,3527.83
19/7/2026,16:29:20,981.93,-283.69,30.76,1022.56,3055.81,2307.13,866.7,1806.64
19/7/2026,16:29:20,1012.7,-272.22,3.42,1048.65,2136.37,1538.09,573.73,-1367.19
19/7/2026,16:29:20,1055.66,-273.19,-66.65,1092.48,4110,2148.44,-48.83,-3503.42
19/7/2026,16:29:20,1063.96,-283.2,-62.01,1102.76,690.32,415.04,-500.49,231.93
19/7/2026,16:29:20,1047.36,-287.84,12.7,1086.27,3833.49,-830.08,-231.93,3735.35
19/7/2026,16:29:20,1057.62,-274.66,-2.44,1092.7,1127.02,512.7,659.18,-756.84
19/7/2026,16:29:20,1133.79,-259.52,-36.62,1163.69,4242.5,3808.59,756.84,-1708.98
19/7/2026,16:29:20,1100.59,-281.01,-48.34,1136.92,2062.37,-1660.16,-1074.22,-585.94
19/7/2026,16:29:20,1103.27,-249.76,43.7,1132.03,4861.92,134.28,1562.5,4602.05
19/7/2026,16:29:20,1073.24,-259.28,60.3,1105.76,1780.47,-1501.46,-476.07,830.08
19/7/2026,16:29:20,1052.98,-238.53,25.39,1079.95,2269.42,-1013.18,1037.6,-1745.61
19/7/2026,16:29:20,1101.32,-249.51,-10.5,1129.28,3060,2416.99,-549.32,-1794.43
19/7/2026,16:29:21,1038.09,-245.36,10.25,1066.74,3333.99,-3161.62,207.52,1037.6
19/7/2026,16:29:21,992.19,-250.73,48.58,1024.53,3001.96,-2294.92,-268.55,1916.5
19/7/2026,16:29:21,1033.94,-229.98,55.66,1060.67,2357.79,2087.4,1037.6,354
19/7/2026,16:29:21,997.8,-253.17,36.62,1030.07,2348.48,-1806.64,-1159.67,-952.15
19/7/2026,16:29:21,953.86,-265.62,17.09,990.3,2483.79,-2197.26,-622.56,-976.56
19/7/2026,16:29:21,984.62,-256.84,6.1,1017.58,1691.32,1538.08,439.45,-549.32
19/7/2026,16:29:21,945.31,-262.7,34.42,981.74,2439.97,-1965.33,-292.97,1416.02
19/7/2026,16:29:21,959.23,-255.37,21.24,992.87,1026.05,695.8,366.21,-659.18
19/7/2026,16:29:21,964.6,-261.47,24.17,999.7,432.1,268.55,-305.18,146.48
19/7/2026,16:29:21,950.93,-241.7,48.83,982.38,1721.93,-683.59,988.77,1232.91
19/7/2026,16:29:21,931.15,-251.22,28.08,964.85,1510.27,-988.77,-476.07,-1037.6
19/7/2026,16:29:21,1051.27,-246.34,46.63,1080.75,6082,6005.86,244.14,927.73
19/7/2026,16:29:21,938.96,-250,54.69,973.21,5632.65,-5615.24,-183.11,402.83
19/7/2026,16:29:21,1011.23,-244.38,26.37,1040.68,3890.98,3613.28,280.76,-1416.02
19/7/2026,16:29:21,1026.61,-268.55,21.24,1061.37,1455.2,769.04,-1208.5,-256.35
19/7/2026,16:29:21,993.65,-250.98,56.64,1026.42,2573.17,-1647.95,878.91,1770.02
19/7/2026,16:29:21,986.33,-240.48,63.23,1017.19,719.9,-366.21,524.9,329.59
19/7/2026,16:29:21,1002.93,-225.59,71.04,1030.44,1181.56,830.08,744.63,390.62
19/7/2026,16:29:21,1016.11,-244.38,53.71,1046.47,1438.46,659.18,-939.94,-866.7
19/7/2026,16:29:21,996.34,-263.67,14.4,1030.74,2402.12,-988.77,-964.36,-1965.33
19/7/2026,16:29:21,1008.79,-249.51,25.15,1039.49,1085.06,622.56,708.01,537.11
19/7/2026,16:29:21,967.77,-267.33,57.86,1005.68,2770.46,-2050.78,-891.11,1635.74
19/7/2026,16:29:21,982.18,-261.23,41.75,1017.18,1122.91,720.21,305.18,-805.66
19/7/2026,16:29:21,1048.34,-236.57,12.45,1074.77,3822.23,3308.11,1232.91,-1464.84
19/7/2026,16:29:21,944.82,-246.09,49.8,977.62,5523.01,-5175.78,-476.07,1867.68
19/7/2026,16:29:21,976.81,-259.28,14.65,1010.74,2466.09,1599.12,-659.18,-1757.81
19/7/2026,16:29:21,920.17,-259.52,21.48,956.3,2852.61,-2832.03,-12.21,341.8
